Start time,End Time,Loadshedding number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.083333333,1,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16
0,0.083333333,2,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4
0,0.083333333,3,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8
0,0.083333333,4,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12
0,0.083333333,5,11,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15
0,0.083333333,6,15,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3
0,0.083333333,7,3,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7
0,0.083333333,8,7,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11
0.083333333,0.166666667,1,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1
0.083333333,0.166666667,2,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5
0.083333333,0.166666667,3,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9
0.083333333,0.166666667,4,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13
0.083333333,0.166666667,5,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16
0.083333333,0.166666667,6,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4
0.083333333,0.166666667,7,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8
0.083333333,0.166666667,8,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12
0.166666667,0.25,1,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2
0.166666667,0.25,2,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6
0.166666667,0.25,3,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10
0.166666667,0.25,4,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14
0.166666667,0.25,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1
0.166666667,0.25,6,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5
0.166666667,0.25,7,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9
0.166666667,0.25,8,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13
0.25,0.333333333,1,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3
0.25,0.333333333,2,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7
0.25,0.333333333,3,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11
0.25,0.333333333,4,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15
0.25,0.333333333,5,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2
0.25,0.333333333,6,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6
0.25,0.333333333,7,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10
0.25,0.333333333,8,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14
0.333333333,0.416666667,1,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4
0.333333333,0.416666667,2,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8
0.333333333,0.416666667,3,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12
0.333333333,0.416666667,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16
0.333333333,0.416666667,5,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3
0.333333333,0.416666667,6,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7
0.333333333,0.416666667,7,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11
0.333333333,0.416666667,8,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15
0.416666667,0.5,1,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5
0.416666667,0.5,2,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9
0.416666667,0.5,3,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13
0.416666667,0.5,4,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1
0.416666667,0.5,5,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4
0.416666667,0.5,6,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8
0.416666667,0.5,7,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12
0.416666667,0.5,8,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16
0.5,0.583333333,1,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6
0.5,0.583333333,2,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10
0.5,0.583333333,3,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14
0.5,0.583333333,4,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2
0.5,0.583333333,5,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5
0.5,0.583333333,6,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9
0.5,0.583333333,7,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13
0.5,0.583333333,8,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1
0.583333333,0.666666667,1,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7
0.583333333,0.666666667,2,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11
0.583333333,0.666666667,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15
0.583333333,0.666666667,4,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3
0.583333333,0.666666667,5,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6
0.583333333,0.666666667,6,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10
0.583333333,0.666666667,7,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14
0.583333333,0.666666667,8,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2
0.666666667,0.75,1,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8
